0,0,0,-20.3765
0.0005,0.0391,3.3889,-20.3769
0.0011,0.0807,4.9081,-20.3778
0.0025,0.129,4.576,-20.3793
0.0042,0.1807,5.4705,-20.3816
0.0066,0.2311,4.8746,-20.3847
0.0093,0.2829,5.348,-20.3885
0.0128,0.3337,4.947,-20.3931
0.0165,0.3855,5.2948,-20.3984
0.0209,0.4359,5.0525,-20.4043
0.0258,0.4874,5.0945,-20.4112
0.0312,0.5391,5.166,-20.4187
0.0371,0.5901,5.1427,-20.4269
0.0435,0.6412,5.0783,-20.4358
0.0504,0.6926,5.1507,-20.4454
0.0578,0.7435,5.1302,-20.4556
0.0658,0.7945,5.0755,-20.4665
0.0742,0.8458,5.1386,-20.4781
0.0832,0.8968,5.1193,-20.4903
0.0926,0.9476,5.1148,-20.5031
0.1026,0.9985,5.0682,-20.5165
0.1131,1.0498,5.123,-20.5306
0.1241,1.1008,5.1047,-20.5453
0.1356,1.1516,5.1005,-20.5604
0.1477,1.2026,5.0593,-20.5762
0.1602,1.2538,5.1448,-20.5925
0.1732,1.3044,5.0749,-20.6092
0.1868,1.3552,5.0504,-20.6265
0.2008,1.4063,5.1301,-20.6442
0.2154,1.4568,5.0641,-20.6624
0.2305,1.5076,5.0417,-20.681
0.2461,1.5587,5.1162,-20.7001
0.2622,1.6093,5.0536,-20.7196
0.2787,1.66,5.0938,-20.7394
0.2959,1.7103,5.0162,-20.7596
0.3135,1.7613,5.0983,-20.7802
0.3315,1.8117,5.0684,-20.8011
0.3502,1.862,5.0074,-20.8223
0.3693,1.9128,5.0857,-20.8438
0.3889,1.9632,5.0569,-20.8656
0.4091,2.0135,4.9993,-20.8876
0.4297,2.0643,5.1007,-20.9099
0.4509,2.1144,5.0076,-20.9324
0.4726,2.1648,5.0286,-20.9552
0.4946,2.2154,5.0765,-20.9781
0.5173,2.2653,4.9989,-21.0012
0.5405,2.3157,5.0195,-21.0245
0.5641,2.3662,5.0653,-21.048
0.5883,2.4161,4.9912,-21.0715
0.6129,2.4664,5.0345,-21.0952
0.6382,2.5166,4.9975,-21.1191
0.6638,2.5671,5.0517,-21.143
0.69,2.617,5.0043,-21.167
0.7166,2.6671,5.0123,-21.191
0.7438,2.7171,4.988,-21.2152
0.7715,2.7674,5.0396,-21.2394
0.7996,2.8173,4.9948,-21.2636
0.8283,2.8673,5.0027,-21.2878
0.8574,2.9173,5.0006,-21.312
0.8871,2.9674,4.9985,-21.3363
0.9174,3.0174,4.9965,-21.3606
0.948,3.0675,5.0146,-21.3848
0.9792,3.1173,4.9831,-21.409
1.0109,3.1673,4.9908,-21.4332
1.043,3.2173,5.0085,-21.4573
1.0757,3.2671,4.9783,-21.4814
1.1089,3.317,4.9858,-21.5055
1.1425,3.367,5.003,-21.5294
1.1768,3.4168,4.9742,-21.5534
1.2114,3.4667,4.9997,-21.5772
1.2466,3.5165,4.9717,-21.6009
1.2822,3.5665,4.9967,-21.6246
1.3183,3.6162,4.9871,-21.6481
1.355,3.6659,4.9684,-21.6715
1.3922,3.7158,4.9755,-21.6949
