0,0,0,0.0006
0.0004,0.0372,3.3927,0.0031
0.0011,0.0696,3.4036,0.008
0.0021,0.1116,4.4129,0.016
0.0037,0.1547,4.2094,0.0282
0.0057,0.1971,4.257,0.0448
0.008,0.2396,4.3277,0.065
0.0109,0.2833,4.3125,0.0895
0.0142,0.3256,4.2288,0.1183
0.0178,0.3683,4.3245,0.1506
0.022,0.4123,4.3502,0.1872
0.0265,0.4546,4.2268,0.228
0.0315,0.4976,4.3299,0.2724
0.0369,0.5418,4.3767,0.321
0.0427,0.5828,4.1777,0.3731
0.0491,0.6291,4.5457,0.4293
0.0557,0.6695,4.0817,0.4896
0.0629,0.7149,4.5138,0.5533
0.0705,0.7575,4.2534,0.6211
0.0784,0.8009,4.363,0.6922
0.0868,0.8442,4.3687,0.7668
0.0957,0.8888,4.4419,0.8452
0.105,0.9317,4.2817,0.9275
0.1148,0.9755,4.3924,1.0131
0.1251,1.0205,4.4697,1.1025
0.1356,1.0625,4.2349,1.1951
0.1467,1.1085,4.592,1.2908
0.1582,1.1517,4.3262,1.3901
0.1701,1.196,4.4375,1.4925
0.1826,1.2415,4.5198,1.5985
0.1954,1.2841,4.2831,1.7074
0.2087,1.3306,4.642,1.8192
0.2225,1.3745,4.3803,1.9345
0.2367,1.4194,4.4906,2.0525
0.2513,1.4644,4.5017,2.1733
0.2664,1.5095,4.5131,2.2968
0.2819,1.5546,4.5248,2.4229
0.2979,1.5999,4.5366,2.5516
0.3144,1.6463,4.6226,2.6834
0.3313,1.6901,4.3908,2.8176
0.3487,1.7377,4.7426,2.9543
0.3665,1.7817,4.4171,3.0933
0.3849,1.8296,4.7665,3.2346
0.4035,1.8739,4.4443,3.3782
0.4227,1.9209,4.7182,3.5234
0.4425,1.9683,4.7101,3.6713
0.4626,2.013,4.4866,3.8212
0.4831,2.0605,4.7555,3.9726
0.5042,2.1073,4.6772,4.126
0.5257,2.1542,4.6905,4.2812
0.5478,2.2013,4.7038,4.4383
0.5703,2.2485,4.7172,4.597
0.5932,2.2949,4.6596,4.757
0.6167,2.3441,4.8997,4.9187
0.6406,2.3901,4.6014,5.0818
0.665,2.4387,4.8557,5.2461
0.6899,2.4866,4.7832,5.4117
0.7151,2.5337,4.7281,5.5783
0.7409,2.5826,4.8928,5.7457
0.7672,2.6308,4.822,5.9144
0.7941,2.6793,4.835,6.0842
0.8213,2.727,4.782,6.2548
0.8491,2.7765,4.9407,6.426
0.8774,2.8253,4.8728,6.5982
0.9061,2.8734,4.8214,6.7709
0.9354,2.9232,4.9754,6.944
0.965,2.9716,4.8467,7.1176
0.9952,3.0216,4.9979,7.2916
1.0259,3.0702,4.8716,7.4658
1.0572,3.1212,5.0794,7.6407
1.0888,3.1687,4.7619,7.8158
1.121,3.2198,5.1146,7.9907
1.1538,3.2697,4.9786,8.166
1.1869,3.319,4.9317,8.3414
1.2206,3.369,5.0139,8.5164
1.2548,3.4199,5.0809,8.6913
1.2894,3.4695,4.9651,8.8662
1.3247,3.5205,5.0998,9.0409
1.3604,3.5704,4.9868,9.2154
1.3967,3.6217,5.1178,9.3896
1.4334,3.6718,5.0077,9.5636
1.4706,3.7226,5.0828,9.7369
1.5083,3.7734,5.0918,9.9095
1.5466,3.825,5.1516,10.0816
1.5853,3.8754,5.0464,10.2533
1.6245,3.9265,5.1177,10.4242
1.6644,3.9784,5.1746,10.5945
1.7046,4.0285,5.0248,10.7639
1.7454,4.081,5.2491,10.9324
1.7868,4.1325,5.1371,11.1006
1.8286,4.183,5.0526,11.2677
1.871,4.2357,5.2665,11.4339
1.9138,4.2863,5.0694,11.5989
1.9572,4.3391,5.2775,11.7628
2.0011,4.3904,5.1295,11.926
2.0455,4.4422,5.1909,12.0879
2.0906,4.4948,5.2387,12.249
2.136,4.5458,5.1095,12.4088
2.1819,4.5983,5.261,12.5672
2.2285,4.651,5.2544,12.7245
2.2754,4.7022,5.1309,12.8806
2.323,4.7554,5.3135,13.0353
2.3711,4.8073,5.1824,13.189
2.4196,4.8592,5.1989,13.341
2.4688,4.9125,5.3244,13.4916
2.5185,4.9645,5.1993,13.6411
2.5686,5.0165,5.2152,13.7889
2.6193,5.0699,5.3339,13.9353
2.6704,5.1216,5.181,14.0802
2.7222,5.1751,5.3396,14.2236
2.7746,5.2274,5.2247,14.3657
2.8273,5.2797,5.2396,14.506
2.8807,5.3333,5.3472,14.6448
2.9345,5.3853,5.2079,14.782
2.9888,5.4385,5.3223,14.9174
3.0439,5.4918,5.3147,15.0515
3.0993,5.544,5.2226,15.1839
3.1553,5.5973,5.3304,15.3144
3.2118,5.6502,5.2958,15.4433
3.2688,5.7032,5.2989,15.5705
3.3263,5.7559,5.2761,15.6958
3.3844,5.8096,5.3649,15.8194
3.443,5.862,5.249,15.9413
3.5022,5.9158,5.368,16.0614
3.5619,5.9683,5.2573,16.1798
3.622,6.0218,5.3484,16.2962
3.6828,6.075,5.3188,16.4109
3.7441,6.1282,5.3214,16.5237
3.806,6.1815,5.324,16.6347
3.8682,6.2344,5.3063,16.7437
3.9312,6.2883,5.3775,16.8509
3.9945,6.3411,5.2843,16.9562
4.0585,6.3947,5.3617,17.0595
4.1229,6.4481,5.3365,17.1609
4.188,6.5015,5.3389,17.2604
4.2536,6.5549,5.3414,17.358
4.3195,6.6081,5.3278,17.4535
4.3863,6.6621,5.386,17.547
4.4534,6.7151,5.3101,17.6386
4.521,6.7688,5.3744,17.728
4.5892,6.8224,5.3536,17.8155
4.658,6.8759,5.3562,17.9009
4.7273,6.9295,5.3587,17.9843
4.7972,6.9832,5.3613,18.0657
4.8675,7.0367,5.3525,18.1449
4.9385,7.0907,5.3968,18.222
5.0099,7.1441,5.3401,18.297
5.0818,7.1979,5.3903,18.3697
5.1543,7.2517,5.3748,18.4404
5.2274,7.3054,5.3777,18.5089
5.301,7.3593,5.3807,18.5752
5.3751,7.4131,5.3838,18.6394
5.4499,7.467,5.3869,18.7013
5.5251,7.521,5.3901,18.761
5.6007,7.5747,5.3876,18.8184
5.6771,7.6289,5.4156,18.8735
5.754,7.6829,5.3875,18.9264
5.8313,7.7368,5.3998,18.9769
5.9093,7.7911,5.4231,19.0251
5.9876,7.845,5.3974,19.0709
6.0667,7.8993,5.4288,19.1143
6.1459,7.9284,2.9112,19.1553
6.2252,7.933,0.4635,19.1937
6.3047,7.9376,0.4593,19.2294
