0,0,0,-20.3765
0.0004,0.0379,3.2776,-20.3769
0.0011,0.0771,4.645,-20.3778
0.0024,0.1239,4.4293,-20.3793
0.004,0.1722,5.1105,-20.3816
0.0063,0.2208,4.6966,-20.3847
0.0089,0.2692,4.9932,-20.3885
0.0122,0.3181,4.7721,-20.3931
0.0158,0.3666,4.9453,-20.3984
0.0199,0.415,4.8555,-20.4043
0.0246,0.4639,4.84,-20.4112
0.0297,0.5128,4.8858,-20.4187
0.0353,0.5614,4.895,-20.4269
0.0414,0.6102,4.8631,-20.4358
0.048,0.659,4.8816,-20.4454
0.055,0.7076,4.8943,-20.4556
0.0626,0.7565,4.8724,-20.4665
0.0707,0.8053,4.8831,-20.4781
0.0792,0.8541,4.8973,-20.4903
0.0882,0.9027,4.8978,-20.5031
0.0977,0.9517,4.8842,-20.5165
0.1077,1.0007,4.8886,-20.5306
0.1182,1.0496,4.9039,-20.5453
0.1292,1.0986,4.9055,-20.5604
0.1407,1.1479,4.8969,-20.5762
0.1526,1.1968,4.907,-20.5925
0.1651,1.2459,4.9252,-20.6092
0.1781,1.2952,4.9055,-20.6265
0.1915,1.3441,4.9118,-20.6442
0.2054,1.3933,4.9321,-20.6624
0.2199,1.4428,4.9147,-20.681
0.2348,1.4919,4.9182,-20.7001
0.2502,1.5414,4.9397,-20.7196
0.2661,1.5905,4.9346,-20.7394
0.2825,1.6401,4.939,-20.7596
0.2994,1.6893,4.9269,-20.7802
0.3167,1.7386,4.9538,-20.8011
0.3347,1.7882,4.9472,-20.8223
0.353,1.8376,4.934,-20.8438
0.3718,1.887,4.9604,-20.8656
0.3913,1.9368,4.9553,-20.8876
0.4111,1.9861,4.9445,-20.9099
0.4315,2.0359,4.9754,-20.9324
0.4524,2.0856,4.9544,-20.9552
0.4736,2.135,4.9625,-20.9781
0.4955,2.1848,4.9817,-21.0012
0.5179,2.2345,4.9613,-21.0245
0.5406,2.284,4.9686,-21.048
0.564,2.334,4.9877,-21.0715
0.5878,2.3836,4.9701,-21.0952
0.6123,2.4337,4.9807,-21.1191
0.6371,2.4834,4.9764,-21.143
0.6624,2.5332,4.9971,-21.167
0.6881,2.583,4.9881,-21.191
0.7146,2.6331,4.9878,-21.2152
0.7413,2.6828,4.9834,-21.2394
0.7686,2.7328,5.0031,-21.2636
0.7965,2.7827,4.9945,-21.2878
0.8248,2.8327,4.996,-21.312
0.8536,2.8827,4.9975,-21.3363
0.883,2.9328,4.9989,-21.3606
0.9128,2.9827,5.002,-21.3848
0.9431,3.0328,5.0107,-21.409
0.974,3.0829,5.0025,-21.4332
1.0053,3.1329,5.0055,-21.4573
1.0371,3.183,5.0137,-21.4814
1.0695,3.2332,5.0058,-21.5055
1.1023,3.2832,5.0087,-21.5294
1.1357,3.3335,5.0164,-21.5534
1.1695,3.3835,5.0105,-21.5772
1.2039,3.4338,5.0179,-21.6009
1.2387,3.4838,5.0122,-21.6246
1.2739,3.5339,5.0211,-21.6481
1.3098,3.5842,5.0198,-21.6715
1.3462,3.6344,5.0125,-21.6949
1.383,3.6845,5.017,-21.7181
1.4203,3.7347,5.0292,-21.7412
1.4583,3.785,5.0143,-21.7643
1.4965,3.8351,5.0188,-21.7871
1.5354,3.8854,5.0302,-21.8099
1.5748,3.9356,5.0178,-21.8325
1.6146,3.9858,5.0255,-21.855
1.6551,4.0362,5.0238,-21.8773
1.6958,4.0863,5.0212,-21.8995
1.7372,4.1366,5.0312,-21.9216
1.7791,4.1869,5.0198,-21.9435
1.8215,4.2371,5.0269,-21.9653
1.8644,4.2874,5.0271,-21.9869
1.9077,4.3377,5.0272,-22.0084
1.9516,4.3879,5.0274,-22.0297
1.996,4.4382,5.0275,-22.0508
2.0408,4.4884,5.0276,-22.0718
2.0862,4.5387,5.0277,-22.0926
2.1321,4.5889,5.0278,-22.1133
2.1786,4.6393,5.0254,-22.1338
2.2255,4.6896,5.0245,-22.1542
2.2729,4.7399,5.0338,-22.1744
2.3206,4.7901,5.0304,-22.1944
2.3691,4.8404,5.031,-22.2143
2.418,4.8907,5.0223,-22.234
2.4674,4.9409,5.0305,-22.2535
2.5174,4.9913,5.0306,-22.2729
2.5677,5.0415,5.0251,-22.2921
2.6186,5.0918,5.033,-22.3111
2.67,5.1421,5.0276,-22.33
2.722,5.1924,5.0276,-22.3487
2.7745,5.2427,5.0275,-22.3673
2.8274,5.293,5.0302,-22.3857
2.8808,5.3433,5.0322,-22.4039
2.9347,5.3935,5.0271,-22.4219
2.9892,5.4439,5.027,-22.4398
3.044,5.4941,5.0298,-22.4575
3.0996,5.5445,5.0285,-22.4751
3.1555,5.5947,5.0251,-22.4925
3.212,5.6451,5.0311,-22.5097
3.2689,5.6953,5.0294,-22.5268
3.3263,5.7455,5.0306,-22.5437
3.3843,5.7958,5.0261,-22.5604
3.4428,5.8461,5.026,-22.577
3.5017,5.8963,5.0289,-22.5934
3.5613,5.9467,5.0266,-22.6097
3.6211,5.9969,5.0278,-22.6258
3.6817,6.0472,5.0302,-22.6418
3.7426,6.0975,5.0245,-22.6576
3.8041,6.1477,5.029,-22.6732
3.8661,6.198,5.0249,-22.6887
3.9285,6.2483,5.028,-22.704
3.9915,6.2986,5.0283,-22.7192
4.055,6.3488,5.0245,-22.7342
4.119,6.3991,5.0276,-22.7491
4.1836,6.4494,5.0244,-22.7638
4.2485,6.4996,5.0273,-22.7784
4.314,6.5499,5.0274,-22.7928
4.38,6.6001,5.0237,-22.8071
4.4465,6.6504,5.0269,-22.8212
4.5136,6.7007,5.0234,-22.8352
